Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
HF3594,45.0,4.0,2,0,1461.0,0.0,98.0,0.0
UX3615,32.0,1.0,1,0,365.0,0.5679287305122495,98.0,0.0
IC2828,33.0,15.0,4,1,5479.0,0.0,241.0,0.2222222222222222
QF5268,45.5,10.0,7,0,3652.0,0.0,98.0,0.0
JU0197,44.5,9.0,2,1,3287.0,0.0,453.0,0.2222222222222222
KS9438,43.0,2.0,3,1,731.0,0.0,239.0,0.2222222222222222
IO8188,46.5,17.0,4,1,6209.0,0.0,-3.0,0.2222222222222222
ZH7610,46.5,10.0,2,1,3653.0,0.0,332.0,0.2222222222222222
VS3420,32.5,2.0,1,0,731.0,0.0,98.0,0.0
EB9384,33.5,4.0,2,1,1461.0,0.0,332.0,0.2222222222222222
VX3517,43.0,8.0,12,0,2922.0,0.0,98.0,0.0
ZI8311,39.5,5.0,1,0,1826.0,0.5012531328320802,98.0,0.0
OO7519,46.5,9.0,1,1,3287.0,1.9106382978723404,301.0,0.2222222222222222
EY7513,44.5,2.0,1,0,731.0,0.0,98.0,0.0
WD9792,43.5,4.0,1,1,1461.0,0.0,-33.0,0.2222222222222222
DH7877,45.0,15.0,5,1,5479.0,0.0,-33.0,0.2222222222222222
HV0995,42.0,11.0,4,1,4018.0,0.0,-33.0,0.2222222222222222
AC7436,45.5,10.0,1,1,3650.0,0.0,270.0,0.2222222222222222
OA8022,44.5,2.0,7,1,731.0,-0.4740652975250132,57.0,0.2222222222222222
HB5732,33.0,11.0,0,0,4018.0,0.43010752688172044,98.0,0.0
HA5694,45.5,11.0,8,1,4035.0,0.19303385416666663,-33.0,0.2222222222222222
QE4995,45.0,5.0,3,0,1826.0,0.0,98.0,0.0
NJ7296,44.5,10.0,2,1,3653.0,0.0,331.0,0.2222222222222222
DY3982,44.0,16.0,3,1,5844.0,0.0,147.0,0.2222222222222222
TE7778,42.0,7.0,1,0,2557.0,0.33407572383073497,98.0,0.0
HP6478,44.5,4.0,4,0,1461.0,0.0,98.0,0.0
SW2713,44.5,14.0,5,1,5114.0,0.0,452.0,0.2222222222222222
YJ6341,44.0,2.0,1,1,731.0,0.0,-34.0,0.2222222222222222
WO8102,43.5,4.0,3,1,1461.0,0.0,-34.0,0.2222222222222222
FC5122,44.0,18.0,1,1,6575.0,0.0,-96.0,0.2222222222222222
OW4515,34.5,9.0,2,0,3287.0,0.0,98.0,0.0
WG7925,34.0,7.0,1,1,2557.0,0.0,87.0,0.2222222222222222
UN1479,45.0,14.0,7,1,5114.0,0.0,115.0,0.2222222222222222
GA9184,33.0,3.0,1,0,1096.0,0.7471264367816092,98.0,0.0
RE2982,39.5,5.0,1,0,1826.0,0.7471264367816092,98.0,0.0
UB7137,44.5,4.0,1,1,1461.0,0.0,-133.0,0.2222222222222222
XO3098,40.0,9.0,2,1,3287.0,0.4553734061930783,114.0,0.2222222222222222
NP5071,42.5,8.0,3,0,2922.0,0.34648127128263345,98.0,0.0
HY3988,45.0,8.0,2,0,2922.0,0.0,98.0,0.0
OW4324,42.5,4.0,1,1,1461.0,0.0,-187.0,0.2222222222222222
AN4358,40.5,5.0,3,1,1826.0,0.0,87.0,0.2222222222222222
HS5674,42.0,3.0,2,0,1096.0,0.15965166908563136,98.0,0.0
OM9375,43.0,18.0,2,1,6575.0,0.0,116.0,0.2222222222222222
CE3232,43.5,3.0,2,0,1096.0,0.27816411682892905,98.0,0.0
