Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
ZA5956,42.5,2.0,1,0,730.0,0.0,98.0,0.0
DX1908,45.5,15.0,2,1,5479.0,-1.0,649.0,0.2222222222222222
SP8059,44.0,11.0,13,0,4018.0,-1.0,98.0,0.0
HV7714,45.5,17.0,14,1,6209.0,-1.0,512.0,0.2222222222222222
VI1603,44.0,10.0,14,0,3652.0,-1.0,98.0,0.0
HI4830,45.5,10.0,5,1,3652.0,0.0,299.0,0.2222222222222222
DS5509,42.0,3.0,5,1,1096.0,0.0,-184.0,0.2222222222222222
SL4621,43.5,5.0,2,1,1826.0,0.0,330.0,0.2222222222222222
BZ7541,43.0,11.0,2,0,4018.0,0.0,98.0,0.0
YG4572,45.0,11.0,3,1,4018.0,0.0,633.0,0.2222222222222222
MT4732,43.5,7.0,5,0,2557.0,0.0,98.0,0.0
DT0191,44.0,3.0,4,0,1096.0,0.0,98.0,0.0
VW5801,45.5,11.0,3,0,4018.0,0.0,98.0,0.0
XY6875,43.5,2.0,1,1,730.0,0.0,299.0,0.2222222222222222
IJ1899,44.0,20.0,2,0,7305.0,0.0,98.0,0.0
XT2632,43.0,2.0,1,0,730.0,0.0,98.0,0.0
SF6692,39.5,2.0,1,0,730.0,0.0,98.0,0.0
US5617,44.5,11.0,4,1,4018.0,0.0,543.0,0.2222222222222222
CJ2785,42.5,2.0,1,1,730.0,0.0,330.0,0.2222222222222222
OU3287,43.0,8.0,1,0,2922.0,0.0,98.0,0.0
VP4177,42.0,3.0,1,0,1096.0,0.0,98.0,0.0
BA8026,41.0,11.0,1,0,4018.0,0.0,98.0,0.0
FI4049,45.5,15.0,12,0,5479.0,0.0,98.0,0.0
ZZ8433,44.0,12.0,5,0,4383.0,0.0,98.0,0.0
PP3298,45.0,13.0,3,1,4748.0,0.0,330.0,0.2222222222222222
RM0982,44.5,11.0,4,0,4018.0,0.0,98.0,0.0
OP1163,43.0,7.0,9,1,2557.0,0.0,420.0,0.2222222222222222
KI8024,45.0,13.0,2,0,4701.0,0.0,98.0,0.0
VW2207,42.0,13.0,0,0,4748.0,0.0,98.0,0.0
RO1346,42.5,2.0,1,1,730.0,0.0,451.0,0.2222222222222222
BK6626,45.5,10.0,8,1,3652.0,0.0,237.0,0.2222222222222222
DR7748,42.0,3.0,7,0,1096.0,0.0,98.0,0.0
SB0136,44.0,11.0,4,0,4018.0,0.0,98.0,0.0
QK7619,43.0,3.0,2,1,1096.0,0.0,330.0,0.2222222222222222
UE3773,43.5,3.0,3,0,1096.0,0.0,98.0,0.0
OE4439,44.0,4.0,5,0,1461.0,0.0,98.0,0.0
GM0498,44.0,10.0,1,1,3652.0,0.0,695.0,0.2222222222222222
FG8142,44.5,12.0,4,0,4383.0,0.0,98.0,0.0
QU1308,43.0,7.0,13,0,2557.0,0.0,98.0,0.0
AF4721,43.0,9.0,5,0,3287.0,0.0,98.0,0.0
XB3972,43.5,4.0,0,0,1461.0,0.0,98.0,0.0
AB5038,43.0,3.0,2,1,1096.0,0.0,360.0,0.2222222222222222
XP1966,46.0,10.0,5,1,3652.0,0.0,479.0,0.2222222222222222
TJ8427,45.5,3.0,5,0,1096.0,0.0,98.0,0.0
RZ7897,43.0,7.0,1,0,2557.0,0.0,98.0,0.0
IM0209,44.0,10.0,2,1,3652.0,0.0,695.0,0.2222222222222222
UE1854,44.5,15.0,3,1,5479.0,0.0,269.0,0.2222222222222222
OV0115,40.0,7.0,1,0,2557.0,0.0,98.0,0.0
TT5154,44.0,11.0,3,0,4018.0,0.0,98.0,0.0
NB8323,43.0,14.0,2,0,5113.0,0.0,98.0,0.0
US5856,40.0,11.0,2,1,4018.0,0.0,206.0,0.2222222222222222
MN9712,43.0,11.0,4,0,4018.0,0.0,98.0,0.0
HW2677,41.0,3.0,3,0,1096.0,0.0,98.0,0.0
OX0826,43.5,8.0,1,0,2922.0,0.0,98.0,0.0
LV0417,41.0,4.0,3,1,1461.0,0.0,330.0,0.2222222222222222
XO7542,41.0,7.0,5,0,2557.0,0.0,98.0,0.0
YH4674,43.0,4.0,2,0,1461.0,0.0,98.0,0.0
NF2500,45.5,14.0,3,1,5113.0,0.0,479.0,0.2222222222222222
NW4111,44.5,10.0,4,0,3652.0,0.0,98.0,0.0
IG7176,46.5,11.0,2,1,4018.0,0.0,299.0,0.2222222222222222
YH6761,44.5,11.0,4,0,4018.0,0.0,98.0,0.0
DG8080,42.5,2.0,3,1,730.0,0.0,451.0,0.2222222222222222
BU0060,43.5,4.0,5,1,1461.0,0.0,390.0,0.2222222222222222
XF7816,39.5,2.0,2,1,730.0,0.0,479.0,0.2222222222222222
HJ6312,40.0,4.0,2,0,1461.0,0.0,98.0,0.0
OR4025,39.0,4.0,2,0,1461.0,0.0,98.0,0.0
XS9652,42.0,2.0,1,0,730.0,0.0,98.0,0.0
RZ1648,45.0,3.0,1,0,1096.0,0.0,98.0,0.0
WB0106,45.0,4.0,1,1,1461.0,0.0,360.0,0.2222222222222222
NI2853,44.5,14.0,7,0,5113.0,0.0,98.0,0.0
LG5263,43.0,3.0,0,1,1096.0,0.0,176.0,0.2222222222222222
ID5150,43.5,11.0,4,1,4018.0,0.0,237.0,0.2222222222222222
BO9876,43.0,11.0,1,1,4018.0,0.0,695.0,0.2222222222222222
TS4171,46.0,10.0,4,1,3652.0,0.0,695.0,0.2222222222222222
NP1331,45.0,13.0,1,1,4748.0,0.0,695.0,0.2222222222222222
HS0727,45.5,7.0,4,0,2557.0,0.0,98.0,0.0
HX3887,43.0,7.0,5,1,2557.0,0.0,512.0,0.2222222222222222
BY5232,42.0,4.0,1,1,1461.0,0.0,360.0,0.2222222222222222
NQ3647,43.0,7.0,2,0,2557.0,0.0,98.0,0.0
RK4376,45.5,15.0,5,0,5479.0,0.0,98.0,0.0
LL2443,44.0,15.0,7,0,5287.0,0.0,98.0,0.0
ST8048,44.0,8.0,2,1,2922.0,0.0,177.0,0.2222222222222222
NI0941,44.0,14.0,7,0,5113.0,0.0,98.0,0.0
KK6542,44.0,13.0,7,1,4748.0,0.0,753.0,0.2222222222222222
MH8997,45.5,11.0,7,0,4018.0,0.0,98.0,0.0
SR5657,43.5,4.0,4,0,1461.0,0.0,98.0,0.0
NF0588,44.5,14.0,4,0,5113.0,0.0,98.0,0.0
PS4846,46.5,13.0,13,0,4748.0,0.0,98.0,0.0
SF0959,43.5,3.0,1,1,1096.0,0.0,664.0,0.2222222222222222
AV7163,39.5,2.0,1,0,730.0,0.0,98.0,0.0
VW2225,45.5,11.0,7,0,4018.0,0.1653411469233989,98.0,0.0
IJ8485,46.5,11.0,4,1,4018.0,0.0,330.0,0.2222222222222222
GD3167,45.5,8.0,4,0,2922.0,0.0,98.0,0.0
LH2769,45.5,11.0,4,0,4018.0,0.0,98.0,0.0
ES2887,43.0,2.0,2,0,730.0,0.0,98.0,0.0
IY4031,41.0,4.0,7,0,1461.0,0.0,98.0,0.0
NS5723,41.5,2.0,2,1,730.0,0.0,360.0,0.2222222222222222
JR2063,41.0,4.0,1,1,1461.0,0.0,479.0,0.2222222222222222
RA6138,43.0,2.0,1,1,730.0,0.0,176.0,0.2222222222222222
LL6506,44.5,11.0,3,0,4018.0,0.0,98.0,0.0
LA8717,45.5,11.0,4,0,4018.0,0.0,98.0,0.0
AL6256,42.0,2.0,2,0,730.0,0.0,98.0,0.0
AL7132,44.0,15.0,3,1,5479.0,0.0,268.0,0.2222222222222222
NL5242,44.0,13.0,5,1,4748.0,0.0,390.0,0.2222222222222222
OW5692,44.0,4.0,2,0,1461.0,0.0,98.0,0.0
HW2167,43.0,8.0,1,0,2922.0,0.0,98.0,0.0
KK9198,42.0,7.0,8,1,2557.0,0.0,332.0,0.2222222222222222
NI0463,45.0,14.0,1,1,5113.0,0.0,330.0,0.2222222222222222
XY4038,43.0,12.0,4,0,4383.0,0.0,98.0,0.0
FB4327,44.5,2.0,1,0,730.0,0.0,98.0,0.0
LH9918,44.5,3.0,3,0,1096.0,0.0,98.0,0.0
NH8551,44.5,14.0,3,0,5113.0,0.0,98.0,0.0
CQ5560,42.5,2.0,4,1,730.0,0.0,329.0,0.2222222222222222
HD7319,40.0,7.0,2,0,2557.0,0.0,98.0,0.0
VV2650,44.5,7.0,7,1,2557.0,0.0,298.0,0.2222222222222222
TV4225,43.5,3.0,2,1,1096.0,0.0,359.0,0.2222222222222222
OB9651,43.5,7.0,4,1,2557.0,0.0,329.0,0.2222222222222222
RI1232,39.5,2.0,1,1,730.0,0.0,359.0,0.2222222222222222
JV5733,39.5,2.0,4,1,730.0,0.0,298.0,0.2222222222222222
NT4112,46.0,18.0,2,0,6574.0,0.0,98.0,0.0
WM7038,41.0,2.0,9,0,730.0,0.0,98.0,0.0
ZL4935,43.5,7.0,5,0,2557.0,0.0,98.0,0.0
EP8187,40.5,2.0,5,1,730.0,0.0,203.0,0.2222222222222222
DG8816,42.5,2.0,1,1,730.0,0.0,329.0,0.2222222222222222
QB6158,43.5,3.0,1,1,1096.0,0.0,359.0,0.2222222222222222
NF7997,45.0,14.0,1,0,5113.0,0.0,98.0,0.0
AD7117,41.5,2.0,4,0,730.0,0.0,98.0,0.0
SA0089,44.0,4.0,5,0,1461.0,0.0,98.0,0.0
PR4330,46.0,13.0,5,0,4748.0,0.0,98.0,0.0
XA3697,45.5,8.0,2,0,2922.0,0.0,98.0,0.0
VH5117,46.0,9.0,4,0,3287.0,0.0,98.0,0.0
OQ8459,42.0,3.0,1,0,1096.0,0.0,98.0,0.0
NG1343,43.5,14.0,8,1,5113.0,0.0,478.0,0.2222222222222222
YY7647,44.0,7.0,2,1,2557.0,0.0,298.0,0.2222222222222222
JC4601,45.5,8.0,3,1,2922.0,0.0,175.0,0.2222222222222222
IM8094,45.5,9.0,5,1,3287.0,0.0,694.0,0.2222222222222222
QP4496,45.0,4.0,8,1,1461.0,0.0,816.0,0.2222222222222222
SK3037,43.5,4.0,5,1,1461.0,0.0,479.0,0.2222222222222222
HU8127,44.0,12.0,3,0,4383.0,0.0,98.0,0.0
UQ7635,40.0,3.0,1,0,1096.0,0.0,98.0,0.0
MS7164,44.5,10.0,2,1,3652.0,0.0,329.0,0.2222222222222222
OV0191,41.5,4.0,1,0,1461.0,0.0,98.0,0.0
QJ9086,43.0,23.0,2,1,8401.0,0.0,329.0,0.2222222222222222
FY1417,46.5,19.0,3,0,6940.0,0.0,98.0,0.0
ZE2616,45.0,20.0,1,1,7305.0,0.0,663.0,0.2222222222222222
VQ6870,44.0,7.0,5,1,2557.0,0.0,450.0,0.2222222222222222
EP3718,43.5,8.0,1,1,2922.0,0.0,845.0,0.2222222222222222
XC3402,45.0,3.0,1,1,1096.0,0.0,359.0,0.2222222222222222
BG2983,45.5,9.0,5,0,3287.0,0.0,98.0,0.0
QX1005,42.0,3.0,2,1,1096.0,0.0,329.0,0.2222222222222222
VF3040,43.0,8.0,1,0,2922.0,0.0,98.0,0.0
DY9388,41.0,9.0,3,0,3287.0,0.0,98.0,0.0
KY6357,44.5,13.0,4,0,4748.0,0.0,98.0,0.0
PM2370,44.0,20.0,4,0,7305.0,0.0,98.0,0.0
DY1742,45.0,8.0,4,1,2922.0,0.0,205.0,0.2222222222222222
NR9916,46.5,7.0,3,0,2557.0,0.0,98.0,0.0
BZ2896,46.0,7.0,4,0,2557.0,0.0,98.0,0.0
OQ1477,43.0,2.0,2,1,730.0,0.0,298.0,0.2222222222222222
ZF1271,42.5,2.0,1,1,730.0,0.0,329.0,0.2222222222222222
DK8647,45.5,8.0,3,1,2922.0,0.05993930197268589,479.0,0.2222222222222222
UO6916,44.5,3.0,1,1,1096.0,0.0,816.0,0.2222222222222222
ED9411,44.5,4.0,1,1,1461.0,0.0,176.0,0.2222222222222222
CC4649,39.5,2.0,2,1,730.0,0.0,329.0,0.2222222222222222
PH1215,43.0,13.0,4,0,4748.0,0.0,98.0,0.0
TD5481,44.0,3.0,3,0,1096.0,0.0,98.0,0.0
PN4264,45.5,4.0,2,1,1461.0,0.0,329.0,0.2222222222222222
KI9936,42.0,19.0,4,0,6940.0,0.0,98.0,0.0
NW5551,45.5,9.0,1,1,3287.0,0.0,474.0,0.2222222222222222
WF0566,42.5,2.0,4,0,730.0,0.0,98.0,0.0
RQ5633,44.0,7.0,2,1,2557.0,0.0,176.0,0.2222222222222222
DK2750,43.0,3.0,9,1,1096.0,0.0,784.0,0.2222222222222222
BU3536,44.0,14.0,4,0,5113.0,0.0,98.0,0.0
EM7351,43.5,2.0,3,1,730.0,0.0,28.0,0.2222222222222222
BW7566,43.5,9.0,2,1,3287.0,0.0,752.0,0.2222222222222222
CP7770,42.5,3.0,3,1,1096.0,0.0,419.0,0.2222222222222222
HT5115,44.5,18.0,4,1,6574.0,0.0,329.0,0.2222222222222222
RK9483,40.0,11.0,2,1,4018.0,0.0,174.0,0.2222222222222222
NE8083,45.0,18.0,7,1,6574.0,0.0,175.0,0.2222222222222222
ZV9499,43.0,7.0,7,0,2557.0,0.0,98.0,0.0
VG3854,41.0,10.0,2,0,3580.0,0.0,98.0,0.0
HG7117,42.0,12.0,3,1,4383.0,0.0,297.0,0.2222222222222222
VN1279,44.5,8.0,1,1,2922.0,0.0,478.0,0.2222222222222222
MD4874,46.5,7.0,1,1,2557.0,0.0,844.0,0.2222222222222222
GP3578,45.0,6.0,5,1,2191.0,0.0,720.0,0.2222222222222222
PS1978,45.0,13.0,7,1,4748.0,0.0,509.0,0.2222222222222222
NF8953,45.0,14.0,1,0,5113.0,0.0,98.0,0.0
NL0444,44.0,2.0,3,1,730.0,0.0,478.0,0.2222222222222222
NU0275,41.5,6.0,3,1,2191.0,0.0,174.0,0.2222222222222222
KM0342,44.0,2.0,1,1,730.0,0.0,297.0,0.2222222222222222
PS0783,44.5,13.0,5,0,4748.0,0.0,98.0,0.0
JC3844,41.5,2.0,2,0,730.0,0.0,98.0,0.0
LR6273,44.0,2.0,1,0,730.0,0.0,98.0,0.0
EZ2170,42.5,8.0,1,0,2922.0,0.0,98.0,0.0
CS8502,43.0,17.0,2,0,6209.0,0.0,98.0,0.0
MC0411,42.5,7.0,1,1,2557.0,0.0,358.0,0.2222222222222222
MF0658,42.5,2.0,3,0,730.0,0.0,98.0,0.0
AP2139,45.0,6.0,13,0,2191.0,0.0,98.0,0.0
KR2984,45.0,19.0,3,0,6940.0,0.0,98.0,0.0
KB0035,43.0,2.0,1,1,730.0,0.0,358.0,0.2222222222222222
TG0204,43.5,4.0,1,0,1461.0,0.0,98.0,0.0
HR6804,40.5,2.0,1,1,730.0,0.0,297.0,0.2222222222222222
OM4728,46.5,19.0,10,1,6940.0,0.4823731728288908,238.0,0.2222222222222222
KK8083,42.5,2.0,2,1,730.0,0.0,478.0,0.2222222222222222
EK1570,45.5,8.0,4,0,2922.0,0.0,98.0,0.0
AK2637,45.0,13.0,1,1,4748.0,0.0,783.0,0.2222222222222222
JU1173,44.0,2.0,7,1,730.0,0.0,478.0,0.2222222222222222
CO6163,43.0,2.0,8,1,730.0,0.0,174.0,0.2222222222222222
HE1093,46.0,18.0,8,0,6574.0,0.0,98.0,0.0
MV1120,43.0,2.0,5,1,730.0,0.0,449.0,0.2222222222222222
HM3769,43.0,2.0,3,0,730.0,0.0,98.0,0.0
OV6733,45.0,7.0,1,0,2557.0,0.0,98.0,0.0
VR9196,44.0,17.0,13,1,6209.0,0.3131466227347611,169.0,0.2222222222222222
DY9842,46.0,17.0,9,0,6209.0,0.0,98.0,0.0
NF8236,44.5,14.0,2,1,5113.0,0.0,477.0,0.2222222222222222
MA8564,40.5,2.0,2,1,730.0,0.0,416.0,0.2222222222222222
BI3886,42.5,8.0,8,0,2922.0,0.0,98.0,0.0
SV8156,45.5,14.0,1,1,5113.0,0.0,297.0,0.2222222222222222
NG2786,43.0,18.0,5,1,6574.0,0.0,510.0,0.2222222222222222
GL4508,45.5,7.0,7,0,2557.0,0.0,98.0,0.0
FM0070,44.5,8.0,1,1,2922.0,0.0,388.0,0.2222222222222222
QY5115,43.0,6.0,1,1,2191.0,0.0,266.0,0.2222222222222222
FA9758,40.5,2.0,1,1,730.0,0.0,478.0,0.2222222222222222
DJ8026,40.0,1.0,0,1,365.0,0.0,330.0,0.2222222222222222
QM4902,45.5,11.0,8,0,4018.0,0.0,98.0,0.0
QE4240,41.5,13.0,3,1,4748.0,0.0,478.0,0.2222222222222222
OT7077,45.0,11.0,3,1,4018.0,0.0,815.0,0.2222222222222222
KU5010,45.5,7.0,8,0,2557.0,0.0,98.0,0.0
PJ8328,45.5,17.0,13,0,6209.0,0.0,98.0,0.0
SX7893,45.0,6.0,2,1,2191.0,0.0,417.0,0.2222222222222222
CJ8055,41.5,2.0,0,0,730.0,0.0,98.0,0.0
HH9232,45.0,2.0,4,0,730.0,0.0,98.0,0.0
KB4219,44.0,2.0,2,1,730.0,0.0,-158.0,0.2222222222222222
IQ5393,41.5,2.0,2,0,730.0,0.0,98.0,0.0
ZO6590,44.0,22.0,3,0,8035.0,0.0,98.0,0.0
QE3284,46.5,12.0,8,1,4378.0,0.0,477.0,0.2222222222222222
XE7722,43.0,2.0,1,1,730.0,0.0,508.0,0.2222222222222222
HT8231,44.0,22.0,2,0,8035.0,0.0,98.0,0.0
ML6958,44.0,2.0,2,1,730.0,0.0,265.0,0.2222222222222222
LM2664,44.0,2.0,7,1,730.0,0.0,508.0,0.2222222222222222
WI4708,45.0,22.0,2,0,8035.0,0.0,98.0,0.0
PY3888,45.5,16.0,7,1,5844.0,0.0,600.0,0.2222222222222222
AV1709,43.0,2.0,3,1,730.0,0.0,266.0,0.2222222222222222
VG7574,44.0,5.0,3,0,1826.0,0.0,98.0,0.0
ZJ2815,45.5,16.0,7,1,5844.0,0.0,176.0,0.2222222222222222
AX4441,45.5,15.0,2,0,5456.0,0.0,98.0,0.0
KO0391,42.5,2.0,3,1,730.0,0.0,599.0,0.2222222222222222
MF3548,44.0,16.0,9,0,5844.0,0.0,98.0,0.0
FF7106,46.0,6.0,8,0,2191.0,0.0,98.0,0.0
QC6976,45.0,6.0,2,0,2191.0,0.0,98.0,0.0
QX6601,41.0,2.0,0,0,820.0,0.0,98.0,0.0
IS6552,43.5,11.0,7,1,4018.0,0.0,600.0,0.2222222222222222
PC8354,43.5,7.0,4,0,2557.0,0.0,98.0,0.0
ER1836,45.5,22.0,9,0,8035.0,0.0,98.0,0.0
FR8668,39.5,2.0,1,0,730.0,0.0,98.0,0.0
GN8724,41.5,5.0,2,0,1826.0,0.0,98.0,0.0
OS7343,43.0,2.0,5,0,730.0,0.0,98.0,0.0
FL3225,43.5,6.0,2,0,2191.0,0.0,98.0,0.0
YA2594,40.5,6.0,3,1,2191.0,0.0,508.0,0.2222222222222222
XD5630,46.5,22.0,8,1,8035.0,0.0,417.0,0.2222222222222222
XX3025,44.0,2.0,3,0,730.0,0.0,98.0,0.0
AR0822,41.5,5.0,2,0,1826.0,0.0,98.0,0.0
SS5066,41.0,7.0,1,0,2557.0,0.0,98.0,0.0
EQ3471,44.0,17.0,4,1,6209.0,0.0,814.0,0.2222222222222222
NF0827,43.5,14.0,3,0,5113.0,0.0,98.0,0.0
TR6891,46.0,7.0,3,1,2557.0,0.0,782.0,0.2222222222222222
EY4970,46.0,22.0,4,0,8035.0,0.0,98.0,0.0
AP8779,43.0,5.0,3,0,1826.0,0.0,98.0,0.0
IO0894,45.5,22.0,4,0,8035.0,0.0,98.0,0.0
NA5659,44.5,2.0,5,1,730.0,0.0,508.0,0.2222222222222222
CG0689,43.5,6.0,4,0,2191.0,0.0,98.0,0.0
BF9224,44.0,5.0,1,0,1826.0,0.0,98.0,0.0
AX5200,41.5,5.0,5,0,1826.0,0.0,98.0,0.0
KT5689,45.5,16.0,4,0,5844.0,0.0,98.0,0.0
QZ4864,41.0,2.0,1,0,730.0,0.0,98.0,0.0
CV5270,46.5,22.0,5,1,8018.0,0.0,296.0,0.2222222222222222
NF3934,41.5,14.0,2,0,5113.0,0.0,98.0,0.0
DQ1288,40.0,22.0,1,1,8035.0,0.0,415.0,0.2222222222222222
SO1321,42.5,2.0,5,1,730.0,0.0,508.0,0.2222222222222222
HY5002,45.0,7.0,7,0,2557.0,0.0,98.0,0.0
IH5169,44.0,25.0,4,0,8973.0,0.0,98.0,0.0
OQ5110,46.5,22.0,4,0,8035.0,0.0,98.0,0.0
AL3321,44.0,6.0,7,1,2191.0,0.0,357.0,0.2222222222222222
YM3818,44.0,5.0,1,0,1826.0,0.0,98.0,0.0
PE8625,45.0,22.0,11,0,8035.0,0.0,98.0,0.0
MM1185,45.0,16.0,4,1,5844.0,0.0,265.0,0.2222222222222222
HG7595,45.5,12.0,9,0,4384.0,0.3031643416127935,98.0,0.0
FU0548,44.5,17.0,4,0,6209.0,0.0,98.0,0.0
HN4409,46.0,22.0,4,0,8035.0,0.0,98.0,0.0
JH3050,41.0,17.0,1,1,6209.0,0.0,296.0,0.2222222222222222
PR5764,44.0,13.0,7,0,4748.0,0.0,98.0,0.0
JD8156,46.0,16.0,5,1,5658.0,0.0,508.0,0.2222222222222222
MW3477,43.5,23.0,1,0,8401.0,0.0,98.0,0.0
JW8400,45.5,25.0,1,0,8984.0,0.0,98.0,0.0
PP8078,46.0,13.0,5,1,4748.0,0.0,477.0,0.2222222222222222
PQ9311,43.0,13.0,2,0,4748.0,0.0,98.0,0.0
QA6593,44.5,22.0,2,1,8035.0,0.0,508.0,0.2222222222222222
ES9522,45.0,22.0,7,1,8035.0,0.0,843.0,0.2222222222222222
BD3970,45.0,13.0,7,0,4748.0,0.15061963775023832,98.0,0.0
QA9222,45.0,22.0,5,0,8035.0,0.0,98.0,0.0
UX8202,44.5,7.0,1,1,2557.0,0.0,874.0,0.2222222222222222
FU2699,43.5,24.0,1,0,8641.0,0.0,98.0,0.0
KI8989,44.5,22.0,4,0,8035.0,0.0,98.0,0.0
QJ4829,44.0,2.0,4,1,730.0,0.0,296.0,0.2222222222222222
RW3876,44.0,13.0,2,0,4748.0,7.135714285714286,98.0,0.0
NF3217,45.5,14.0,3,1,5113.0,0.0,508.0,0.2222222222222222
MB4113,45.5,18.0,3,1,6574.0,0.0,508.0,0.2222222222222222
EW2317,45.0,5.0,3,0,1826.0,0.0,98.0,0.0
AW0773,44.5,11.0,3,0,4018.0,0.0,98.0,0.0
PR6481,44.5,13.0,1,1,4748.0,0.0,417.0,0.2222222222222222
GD9733,44.0,22.0,7,0,8035.0,0.0,98.0,0.0
UW2851,43.5,6.0,4,0,2191.0,0.0,98.0,0.0
QK5497,44.5,3.0,2,0,1096.0,0.0,98.0,0.0
LJ9092,42.5,4.0,5,0,1461.0,0.0,98.0,0.0
AN3360,43.0,11.0,4,0,4018.0,0.0,98.0,0.0
OH3210,41.0,23.0,3,0,8401.0,0.0,98.0,0.0
HG6400,41.0,12.0,2,0,4383.0,0.0,98.0,0.0
QH0406,40.0,17.0,2,0,6209.0,0.0,98.0,0.0
DX8252,45.0,10.0,2,1,3652.0,0.0,356.0,0.2222222222222222
KU3508,44.0,11.0,8,1,4060.0,0.0,235.0,0.2222222222222222
PK7349,44.0,5.0,2,1,1826.0,0.0,295.0,0.2222222222222222
HE8352,44.5,5.0,4,0,1826.0,0.0,98.0,0.0
WA0330,42.0,4.0,1,0,1461.0,0.0,98.0,0.0
GJ6223,42.0,5.0,5,0,1826.0,0.0,98.0,0.0
UT4558,40.0,3.0,2,0,1176.0,0.0,98.0,0.0
PH4564,39.5,2.0,1,0,730.0,0.0,98.0,0.0
QB3361,44.0,4.0,4,0,1461.0,0.0,98.0,0.0
DH8355,45.5,16.0,5,0,5844.0,0.0,98.0,0.0
XP6455,44.0,5.0,1,0,1826.0,0.0,98.0,0.0
HQ5269,45.0,11.0,5,0,4018.0,0.0,98.0,0.0
BE7593,43.5,16.0,3,1,5844.0,0.0,781.0,0.2222222222222222
YE2445,45.5,5.0,0,1,1826.0,0.0,507.0,0.2222222222222222
MR2247,45.0,5.0,2,0,1826.0,0.0,98.0,0.0
IJ5723,45.5,18.0,4,1,6574.0,0.0,476.0,0.2222222222222222
UE0181,43.0,15.0,4,1,5479.0,0.0,236.0,0.2222222222222222
FP5740,45.0,5.0,5,0,1826.0,0.0,98.0,0.0
MY6329,45.5,5.0,4,1,1826.0,0.0,172.0,0.2222222222222222
II5554,42.0,11.0,7,0,4018.0,0.0,98.0,0.0
MD1560,44.5,23.0,2,0,8401.0,0.0,98.0,0.0
FP1314,44.5,23.0,7,0,8401.0,0.0,98.0,0.0
IB2628,43.0,5.0,1,0,1826.0,0.0,98.0,0.0
HE8953,43.5,12.0,1,1,4389.0,0.0,447.0,0.2222222222222222
UR9586,46.0,5.0,7,1,1826.0,0.0,295.0,0.2222222222222222
CC5220,44.5,2.0,1,1,730.0,0.0,295.0,0.2222222222222222
RC0008,44.5,5.0,5,0,1826.0,0.0,98.0,0.0
EZ4052,46.5,16.0,3,0,5844.0,0.0,98.0,0.0
NV5383,45.5,23.0,4,0,8401.0,0.0,98.0,0.0
OJ4242,44.0,17.0,1,0,6209.0,0.0,98.0,0.0
SK0938,43.5,6.0,1,1,2191.0,0.0,507.0,0.2222222222222222
KI6944,44.5,5.0,1,0,1826.0,0.0,98.0,0.0
UD7552,45.5,15.0,3,1,5479.0,0.0,753.0,0.2222222222222222
AA0584,45.5,16.0,1,1,5844.0,0.0,873.0,0.2222222222222222
OW5931,45.0,16.0,1,0,5844.0,0.0,98.0,0.0
EN3248,45.0,10.0,2,0,3652.0,0.0,98.0,0.0
JC0426,44.5,11.0,3,0,4018.0,0.0,98.0,0.0
KF7524,42.0,11.0,3,0,4018.0,0.0,98.0,0.0
OQ7615,44.5,22.0,1,0,8065.0,0.0,98.0,0.0
ZQ1934,46.0,5.0,1,0,1826.0,0.0,98.0,0.0
HG4727,44.5,12.0,1,0,4383.0,0.0,98.0,0.0
YT0773,42.5,12.0,5,0,4383.0,0.0,98.0,0.0
ZC2430,42.0,4.0,2,0,1461.0,0.0,98.0,0.0
DU7765,43.5,9.0,2,0,3287.0,0.0,98.0,0.0
YD1962,43.0,3.0,1,0,1096.0,0.0,98.0,0.0
UD6596,44.5,15.0,3,0,5479.0,0.0,98.0,0.0
QM4601,44.0,4.0,3,0,1461.0,0.0,98.0,0.0
NY9518,44.5,4.0,0,0,1461.0,0.0,98.0,0.0
ZA9819,40.0,3.0,1,0,1096.0,0.0,98.0,0.0
WG6616,44.0,6.0,1,0,2191.0,0.0,98.0,0.0
CY8594,45.5,3.0,5,0,1096.0,0.0,98.0,0.0
TQ8897,41.0,3.0,4,1,1096.0,0.0,172.0,0.2222222222222222
UQ8878,45.0,4.0,5,0,1461.0,0.0,98.0,0.0
SS6343,41.5,4.0,5,1,1461.0,0.0,294.0,0.2222222222222222
MZ7131,40.0,4.0,1,0,1461.0,0.0,98.0,0.0
HC0370,43.0,4.0,2,0,1461.0,0.0,98.0,0.0
AF7087,45.0,4.0,1,0,1461.0,0.0,98.0,0.0
XH7477,42.0,3.0,1,1,1096.0,0.0,287.0,0.2222222222222222
UB9642,44.0,5.0,3,0,1826.0,0.0,98.0,0.0
PH8857,43.5,5.0,1,0,1826.0,0.0,98.0,0.0
MZ9295,41.5,5.0,1,0,1826.0,0.0,98.0,0.0
CX3434,43.0,16.0,3,1,5844.0,0.0,352.0,0.2222222222222222
ZS8920,42.0,9.0,1,1,3287.0,0.0,779.0,0.2222222222222222
DH7284,45.5,16.0,5,0,5844.0,0.0,98.0,0.0
FG4557,46.0,16.0,2,1,5844.0,0.0,475.0,0.2222222222222222
JV2119,40.5,5.0,2,1,1826.0,0.0,475.0,0.2222222222222222
XE8449,43.5,6.0,1,0,2191.0,0.0,98.0,0.0
