Co_Ref,crm_contractor_sentiment_score,crm_agent_chase_count,Time_to_Renewal,crm_delays_in_accreditation,crm_contractor_engagement,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_overdue,crm_customer_complained,crm_dissatisfaction_with_support
AC0502,60.0,1.3333333333333333,0,0,1,1,0,1,0,0
AC0749,12.5,2.0,0,0,1,1,0,1,0,0
AC1050,50.0,1.0,1,0,1,1,0,0,0,0
AC1054,12.5,0.25,2,1,0,1,0,1,0,0
AC1068,25.0,1.0,2,0,1,1,0,0,0,0
AC1429,50.0,1.0,0,0,1,1,0,1,0,0
AC1671,33.333333333333336,1.0,0,0,1,0,0,0,0,0
AC1742,10.0,0.8,0,1,0,1,0,0,0,0
AC1804,12.5,2.0,0,2,1,1,0,1,0,0
AC2094,65.0,0.0,1,0,1,1,0,0,0,0
AC2155,30.0,1.0,0,0,1,1,0,2,0,0
AC2461,16.666666666666668,2.0,0,0,1,1,0,1,0,0
AC2776,50.0,1.3333333333333333,1,0,1,0,0,2,0,0
AC2811,40.0,0.6666666666666666,0,0,1,0,0,1,0,0
AC2864,0.0,2.0,0,0,1,1,0,0,0,0
AC2986,55.0,1.0,0,0,1,1,0,0,0,0
AC3034,45.0,0.5,0,0,1,1,0,1,0,0
AC3520,32.5,1.0,0,0,1,1,0,1,0,0
AC3946,40.0,1.3333333333333333,0,0,1,1,0,1,0,0
AC4328,25.0,2.0,2,0,1,1,0,0,0,0
AC4408,63.333333333333336,2.3333333333333335,0,2,1,2,0,0,0,0
AC4484,33.333333333333336,1.3333333333333333,0,0,1,1,0,1,0,0
AC5010,0.0,0.6666666666666666,0,1,0,1,0,0,0,0
AC5334,43.333333333333336,1.0,0,0,1,2,0,0,0,0
AC5375,17.5,1.75,0,2,1,1,0,2,0,0
AC5440,20.0,1.0,2,0,1,1,0,2,0,1
AC5613,10.0,0.5,1,0,1,1,0,0,0,0
AC5722,20.0,1.4,1,1,1,1,0,2,0,0
AC5759,60.0,1.3333333333333333,0,0,1,1,1,0,0,0
AC5972,5.0,1.75,0,2,1,1,0,1,0,0
AC6051,46.666666666666664,1.6666666666666667,0,0,1,1,0,2,0,0
AC6096,12.5,0.25,0,1,0,1,0,1,0,0
AC6856,37.5,1.5,0,2,1,1,0,1,0,0
AC6874,25.0,0.75,3,0,0,1,0,0,0,0
AC7013,33.333333333333336,0.3333333333333333,0,0,1,1,0,1,0,0
AC7113,60.0,0.3333333333333333,1,0,1,1,0,1,0,0
AC7352,50.0,0.6666666666666666,0,0,1,1,0,1,0,0
AC7436,43.333333333333336,0.6666666666666666,0,0,1,1,0,1,0,0
AC7497,33.333333333333336,1.0,1,2,1,1,0,1,0,0
AC7526,50.0,2.0,3,2,1,1,0,1,0,0
AC8349,33.333333333333336,1.3333333333333333,0,0,1,1,0,1,0,0
AC8504,15.0,1.5,0,0,1,1,0,1,0,0
AC9264,25.0,1.5,0,1,1,1,0,0,0,0
AC9302,50.0,1.5,0,0,1,1,0,1,0,0
AC9367,33.333333333333336,1.3333333333333333,1,2,1,1,0,1,0,0
AC9436,90.0,0.5,0,0,1,1,0,0,0,0
AC9742,50.0,0.0,0,0,1,1,0,1,0,0
AD0114,32.857142857142854,1.2857142857142858,0,1,1,1,0,1,0,0
AD0243,25.0,1.0,1,0,1,1,0,0,0,0
AD0458,50.0,2.0,0,2,1,2,0,0,0,0
AD0638,43.333333333333336,2.3333333333333335,1,0,1,2,0,0,0,0
AD0668,37.5,2.25,0,0,1,1,0,0,0,0
AD0761,40.0,1.5,0,0,1,0,0,1,0,0
AD0880,25.0,1.5,0,0,1,1,0,0,0,0
AD0922,47.5,0.5,0,0,1,1,0,1,0,0
AD1072,63.333333333333336,1.0,0,0,1,1,0,0,0,0
AD1343,54.0,0.6,0,0,1,1,0,0,0,0
AD1356,65.0,0.5,0,0,1,1,0,0,0,0
AD1563,25.0,2.0,0,0,1,1,0,1,0,0
AD1655,16.666666666666668,1.3333333333333333,0,2,1,1,0,1,0,0
AD1657,0.0,2.5,0,1,0,1,0,1,0,0
AD1681,50.0,1.0,0,0,1,1,0,1,0,0
AD1830,43.333333333333336,1.3333333333333333,0,0,1,1,0,1,0,0
AD2140,60.0,1.0,0,0,1,2,0,0,0,0
AD2220,75.0,1.0,0,0,1,1,0,0,0,0
AD2265,33.333333333333336,0.6666666666666666,0,0,1,1,0,2,0,0
AD2371,50.0,1.5,1,0,1,1,0,1,0,0
AD2389,12.5,2.75,0,2,1,1,0,1,0,0
AD2839,8.333333333333334,0.8333333333333334,0,1,0,1,0,0,0,0
AD3239,65.0,4.0,0,0,1,1,0,1,0,0
AD3246,65.0,0.0,0,0,1,1,0,0,0,0
AD3632,25.0,2.0,0,2,1,1,0,2,0,0
AD3672,65.0,2.0,0,0,1,1,0,0,0,0
AD3976,75.0,0.5,0,0,1,2,0,1,0,0
AD4119,35.0,1.5,0,0,1,1,0,0,0,0
AD4863,60.0,1.3333333333333333,1,0,1,1,0,0,0,0
AD5124,16.666666666666668,1.6666666666666667,0,0,1,1,0,1,0,0
AD5239,37.5,1.75,0,0,1,1,0,1,0,0
AD5655,10.0,2.0,2,0,1,0,0,0,0,0
AD6195,20.0,0.75,0,0,1,1,0,2,0,0
